GPU,Memory size(GB),CUDA core,Memory Bandwidth(GB/s),Memory Speed,Graphics Base Clock,VRAM Type(GDDR)
GT 710,1,192,14,667,954,5
GT 720,1,192,98,1800,797,5
GT 730,1,96,28.8,900,700,3
GT 740,1,384,80.19,1250,993,5
GTX 750,1,512,80.16,1252.5,1020,5
GTX 750Ti,2,640,86.4,1350,1020,5
GTX 760,2,1152,192.26,1502,980,5
GTX 760Ti,2,1344,192.26,1502,915,5
GTX 770,2,1536,224.32,1752.5,1046,5
GTX 780,3,2304,228.38,1502,863,5
GTX 780Ti,3,2880,336,1750,876,5
GTX 950,0.5,768,105.7,6600,1024,5
GTX 960,2,1024,112,7000,1127,5
GTX 970,3.5,1664,120,7000,1050,5
GTX 980,4,2048,196.3,7000,1126,5
GTX 980Ti,6,2816,224.3,7000,1000,5
GTX Titan,12,3072,336.5,7000,1000,5
GT 1030,2,384,16.8,2100,1152,4
GTX 1050,3,640,112,1455,1354,5
GTX 1050Ti,4,768,112,1392,1290,5
GTX 1060 3GB,3,1152,192,8000,1506,5
GTX 1060 6GB,6,1280,192,8000,1506,5
GTX 1070,8,1920,256,8000,1506,5
GTX 1070Ti,8,2432,256,8000,1607,5X
GTX 1080,8,2560,320,10000,1607,5X
GTX 1080Ti,11,3584,484,11000,1480,5X
GeForce Titan X,12,3584,480,10000,1417,5X
GTX 1650,4,896,192,8000,1485,6
RTX 2060,6,1920,336,14000,1365,6
RTX 2070,8,2560,448,14400,1410,6
RTX 2080,8,3072,448,15000,1515,6
RTX 2080s,8,3072,496.1,15496,1650,6
RTX 2080Ti,11,4352,616,16000,1350,6
